Course,Prerequesites
ENST441,[]
ENST450,"['BIOM301', 'ENST360']"
ENST456,[]
ENST460,"['ENST360', 'BSCI361']"
ENST472,[]
ENST485,"['MATH120', 'MATH130', 'MATH136', 'MATH140']"
ENST486,['ENST389']
ENST489,[]
ENST499,[]
ENST499A,[]
ENST499E,[]
ENST499L,[]
ENST499X,[]
ENST499Y,[]
ENST602,[]
ENST603,[]
ENST606,[]
ENST611,['ENST200']
ENST650,"['BIOM301', 'ENST360']"
ENST689,[]
ENST689M,[]
ENST689X,[]
ENST689Y,[]
ENST689Z,[]
ENST761,['ENST414']
ENST798,[]
ENST799,[]
ENST898,[]
ENST899,[]
ENTM699K,[]
ENTM701,[]
ENTM788C,[]
ENTM798T,[]
ENTM799,[]
ENTM898,[]
ENTM899,[]
GEOG140,[]
GEOG156,[]
GEOG170,[]
GEOG172,[]
GEOG201,[]
GEOG202,[]
GEOG211,"['GEOL120', 'GEOL100', 'GEOG201']"
GEOG272,[]
GEOG276,[]
GEOG330,[]
GEOG371,"['GEOG276', 'GEOG306', 'GEOG272']"
GEOG373,[]
GEOG384,"['GEOG211', 'GEOG306', 'GEOG212', 'GEOG201', 'ENGL393', 'ENGL390']"
GEOG385,"['GEOG211', 'GEOG306', 'GEOG212', 'GEOG201']"
GEOG398,[]
GEOG416,[]
GEOG417,"['GEOG272', 'GEOG306']"
GEOG418,[]
GEOG440,"['PHYS171', 'PHYS161', 'AOSC401', 'GEOG301']"
GEOG475,"['GEOG373', 'GEOG306']"
GEOG498,[]
GEOG498G,[]
GEOG498N,[]
GEOG601,[]
GEOG608,[]
GEOG617,[]
GEOG652,[]
GEOG653,['GEOG579']
GEOG654,['GEOG653']
GEOG661,[]
GEOG662,[]
GEOG686,[]
GEOG688M,[]
GEOG788,[]
GEOG788F,[]
GEOG788L,[]
GEOG788P,[]
GEOG788Z,[]
GEOG789,[]
GEOG790,[]
GEOG797,[]
GEOG798,[]
GEOG799,[]
GEOG898,[]
GEOG899,[]
GEOL100,[]
GEOL104,[]
GEOL110,"['GEOL120', 'GEOL100']"
GEOL120,[]
GEOL123,[]
GEOL200,[]
GEOL212,[]
GEOL341,"['GEOL120', 'GEOL100', 'GEOL102', 'GEOL110']"
GEOL342,"['GEOL120', 'GEOL100', 'GEOL110', 'GEOL322', 'CHEM103', 'CHEM131', 'CHEM132', 'CHEM135', 'CHEM136']"
GEOL375,['MATH120']
GEOL386,[]
GEOL393,"['PHYS141', 'PHYS161', 'PHYS174', 'MATH141', 'CHEM131', 'CHEM132', 'CHEM135', 'CHEM136']"
GEOL394,['GEOL393']
GEOL413,['MATH115']
GEOL423,"['GEOL100', 'GEOL120', 'GEOL110', 'GEOL322', 'CHEM131', 'CHEM132', 'CHEM135', 'CHEM136', 'CHEM103']"
GEOL436,"['MATH120', 'MATH140', 'MATH220', 'GEOL100', 'GEOL120', 'GEOL322', 'CHEM131', 'CHEM132', 'CHEM135', 'CHEM136']"
GEOL444,"['GEOL322', 'GEOL100', 'MATH115', 'CHEM103', 'CHEM131', 'CHEM132', 'CHEM135', 'CHEM136']"
GEOL446,"['PHYS141', 'MATH141', 'MATH140', 'GEOL100', 'GEOL120']"
GEOL451,"['GEOL110', 'MATH140', 'GEOL120', 'GEOL100', 'CHEM131', 'CHEM132', 'CHEM135', 'CHEM136', 'CHEM103']"
GEOL452,[]
GEOL453,"['MATH120', 'MATH140', 'MATH220', 'CHEM131', 'CHEM135', 'CHEM132', 'CHEM136', 'GEOL100', 'GEOL120', 'ENST200']"
GEOL460,"['GEOL100', 'GEOL120', 'MATH140', 'MATH141', 'PHYS141', 'PHYS161', 'PHYS171']"
GEOL488,[]
GEOL499,[]
GEOL613,['MATH115']
GEOL636,"['MATH120', 'MATH140', 'CHEM131', 'CHEM135', 'CHEM132', 'CHEM136', 'GEOL100', 'GEOL120', 'ENST200']"
GEOL650,['GEOL443']
GEOL652,['GEOL452']
GEOL670,[]
GEOL688,[]
GEOL789C,[]
GEOL789F,[]
GEOL798,[]
GEOL799,[]
GEOL898,[]
GEOL899,[]
MATH003,[]
MATH007,[]
MATH013,[]
MATH015,[]
MATH107,"['MATH107', 'MATH003']"
MATH113,['MATH113']
MATH115,"['MATH115', 'MATH003', 'MATH113']"
MATH120,"['MATH113', 'MATH115', 'MATH120']"
MATH121,"['MATH120', 'MATH130', 'MATH136', 'MATH140']"
MATH135,"['MATH113', 'MATH115', 'MATH120']"
MATH136,['MATH135']
MATH140,['MATH115']
MATH140H,['MATH115']
MATH141,['MATH140']
MATH141H,['MATH140']
MATH206,"['MATH136', 'MATH140']"
MATH212,[]
MATH213,['MATH212']
MATH214,['MATH212']
MATH240,"['MATH131', 'MATH141']"
MATH241,['MATH141']
MATH241H,['MATH141']
MATH243,['MATH141']
MATH246,['MATH141']
MATH246H,['MATH141']
MATH274,"['MATH120', 'MATH130', 'MATH136', 'MATH140', 'MATH220']"
MATH299B,[]
MATH310,"['MATH141', 'MATH240', 'MATH341', 'MATH461', 'MATH241', 'MATH340']"
MATH312,"['MATH212', 'MATH213']"
MATH315,['MATH212']
MATH340,"['MATH141', 'MATH140']"
MATH386,[]
MATH401,"['MATH461', 'MATH240', 'MATH341']"
MATH402,"['MATH240', 'MATH341', 'MATH461']"
MATH403,"['MATH240', 'MATH461', 'MATH340', 'MATH341', 'MATH241', 'MATH310']"
MATH405,"['MATH240', 'MATH461', 'MATH341', 'MATH310']"
MATH406,"['MATH240', 'MATH241', 'MATH246', 'MATH340', 'MATH341', 'MATH461']"
MATH407,[]
MATH410,"['MATH240', 'MATH461', 'MATH341', 'MATH340', 'MATH241', 'MATH310']"
MATH411,['MATH410']
MATH416,"['MATH141', 'MATH240', 'MATH461', 'MATH341']"
MATH423,"['MATH240', 'MATH401', 'MATH461', 'MATH341']"
MATH424,"['MATH141', 'STAT400', 'STAT410']"
MATH430,"['MATH240', 'MATH341', 'MATH461']"
MATH431,"['MATH461', 'MATH240', 'MATH341']"
MATH432,['MATH410']
MATH436,"['MATH241', 'MATH340', 'MATH461', 'MATH240', 'MATH341', 'MATH461']"
MATH445,['MATH141']
