Course,Prerequisite
INST366,INST126
INST366,GEOG276
INST366,STAT100
INST366,AASP101
INST366,ANTH210
INST366,ANTH260
INST366,ECON200
INST366,ECON201
INST366,GEOG202
INST366,GVPT170
INST366,PSYC100
INST366,SOCY100
INST366,SOCY105
INST367,INST380
INST377,INST201
INST377,INST301
INST377,BSOS233
INST377,INST327
INST377,STAT100
INST377,MATH115
INST380,INST201
INST380,INST126
INST380,STAT100
INST380,PSYC100
INST380,SOCY105
INST381,PSYC100
INST381,SOCY105
INST381,INST126
INST381,INST201
INST381,STAT100
INST381,MATH115
INST402,INST362
INST402,INST367
INST405,INST126
INST405,STAT100
INST405,INST201
INST405,PSYC100
INST405,SOCY105
INST406,INST380
INST410,INST126
INST410,STAT100
INST410,PSYC100
INST410,SOCY105
INST410,INST201
INST410,INST301
INST410,MATH115
INST414,MATH115
INST414,STAT100
INST414,INST126
INST414,GEOG276
INST414,INST201
INST414,INST301
INST414,BSOS233
INST414,AASP101
INST414,ANTH210
INST414,ANTH260
INST414,ECON200
INST414,ECON201
INST414,GEOG202
INST414,GVPT170
INST414,PSYC100
INST414,SOCY100
INST414,BSOS233
INST414,INST314
INST441,INST341
INST441,INST380
INST442,INST341
INST442,INST380
INST447,STAT100
INST447,INST327
INST447,INST201
INST447,INST301
INST447,BSOS233
INST447,AASP101
INST447,ANTH210
INST447,ANTH260
INST447,ECON200
INST447,ECON201
INST447,GEOG202
INST447,GVPT170
INST447,PSYC100
INST447,SOCY100
INST447,BSOS233
INST447,INST314
INST447,BSOS331
INST447,GEOG273
INST447,INST326
INST451,INST126
INST451,INST201
INST451,STAT100
INST451,PSYC100
INST451,SOCY105
INST454,INST104
INST454,INST126
INST454,INST204
INST454,INST380
INST454,INST367
INST462,STAT100
INST462,INST201
INST462,INST301
INST462,BSOS233
INST462,INST126
INST462,GEOG276
INST462,AASP101
INST462,ANTH210
INST462,ANTH260
INST462,ECON200
INST462,ECON201
INST462,GEOG202
INST462,GVPT170
INST462,PSYC100
INST462,SOCY100
INST462,SOCY105
INST462,BSOS233
INST462,INST314
INST464,INST201
INST464,INST126
INST464,MATH115
INST464,PSYC100
INST464,INST364
INST466,INST201
INST466,INST301
INST466,PSYC100
INST466,SOCY105
INST490,INST311
INST490,INST314
INST490,INST326
INST490,INST327
INST490,INST335
INST490,INST346
INST490,INST352
INST490,INST362
INST680,INFM600
INST680,LBSC602
INST704,INST631
INST731,INST661
INST735,CMSC422
INST737,INST627
INST737,LBSC690
INST737,LBSC671
INST737,INFM603
INST737,JOUR652
INST752,INFM600
INST752,INFM603
INST752,INST630
INST752,INST733
INST753,INFM600
INST753,INFM603
INST753,INST733
INST754,INFM600
INST754,INST630
INST754,INST733
INST754,INFM603
INST754,JOUR652
INST760,INST630
INST760,INFM603
INST775,INST631
INST775,INST632
INST775,INST717
INST782,INST604
INST784,INST604
INST787,AMST856
INST787,ANTH856
INST787,HIST810
DATA110,DATA100
DATA110,STAT100
DATA110,MATH135
DATA120,STAT100
DATA120,MATH135
DATA200,STAT100
DATA200,MATH135
DATA250,DATA110
DATA250,DATA120
DATA250,MATH141
DATA350,DATA100
DATA350,STAT100
DATA350,MATH135
DATA350,DATA110
DATA350,DATA120
DATA400,MATH131
DATA400,MATH141
